game_title,image_url,genre,short_description,player_mode
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Embark on a heroic journey across a kingdom in turmoil, mastering powerful archetypes and strategic turn-based combat in this fantasy epic from the creators of Persona.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Uncover an ancient mystery in this cinematic first-person action-adventure, playing as Indiana Jones to outsmart enemies and traverse exotic locations across the globe.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Experience intense, large-scale World War II battles featuring tactical team-based gameplay, realistic ballistics, and a unique strategic meta-game.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,Mario explores 3D worlds to rescue Princess Peach from Bowser in this groundbreaking adventure featuring innovative movement and iconic exploration.,Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"Explore the dangerous, radioactive Chornobyl Exclusion Zone in this immersive open-world survival experience featuring intense combat and branching narratives.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Shooter,"A survival MMOFPS set in the radioactive Chernobyl Exclusion Zone, combining dynamic open-world exploration with intense tactical PvP and PvE combat.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Build, manage, and expand your own supermarket with friends in this immersive cooperative simulation game.",Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,RPG,"A vibrant 3D massively multiplayer online role-playing game featuring unique class systems, social exploration, and epic adventures in a reimagined fantasy world.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,"Survive grotesque experiments in this intense psychological horror game, either alone or with friends in cooperative trials designed to test your sanity and endurance.",Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,Shape the future of androids and humanity in this cinematic thriller where every choice defines the fate of Detroit and its inhabitants.,Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Sports,"Experience authentic mixed martial arts combat with deep rosters, realistic physics, and immersive knockout mechanics in the ultimate UFC simulation.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Build your dream home, cultivate crops, and explore a vibrant, cozy world with friends in this relaxing community-focused MMO adventure.",Multiplayer
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Struggle to survive in the heart of the Amazon rainforest using realistic crafting, hunting, and building mechanics while fighting to stay sane in a harsh wilderness.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Experience the next generation of aviation with advanced physics, diverse mission types, and global exploration in the most technologically sophisticated flight simulator to date.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Draft champions, build synergies, and outmaneuver opponents in this competitive round-based auto-battler set in the League of Legends universe.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Adventure,"Explore an infinite, procedurally generated universe filled with unique planets, alien life, and endless opportunities for discovery, trading, and survival.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Build your agricultural empire, operate authentic machinery, and manage crops or livestock in a highly immersive, expansive farming experience.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"An immersive open-world action-shooter set in a crumbling Washington D.C., where players fight to restore order through tactical combat and strategic team-based gameplay.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,An epic crossover fighting game featuring a massive roster of iconic video game characters battling on diverse stages to knock opponents out of the arena.,Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,"Navigate a zombie-infested city, master parkour, and scavenge for supplies in this intense open-world survival horror experience.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,"Go behind enemy lines in occupied France, utilizing tactical stealth and precision marksmanship to sabotage the Nazi war machine in this intense WWII combat experience.",Both
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,RPG,Explore the supernatural island of Aeternum in this action-packed open-world RPG featuring intense combat and deep character progression.,Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Embark on a cozy island getaway with Hello Kitty and friends, solving puzzles, crafting items, and restoring an abandoned theme park in this charming life-simulation adventure.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Simulation,Experience life as an editor-in-chief in this narrative-driven game where you influence public opinion and shape the future of a divided society.,Singleplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Strategy,Command powerful armored tanks in intense tactical battles to dominate the battlefield and secure victory in this classic combat simulation.,Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"Descend into the basement in this definitive edition, featuring hundreds of items, challenging bosses, and endless procedural dungeons in an ever-evolving, dark adventure.",Both
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,"An open-world extraction shooter set in a post-apocalyptic world ravaged by massive, life-altering forces of nature. Gear up, loot, and survive the storm.",Multiplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Navigate the sprawling state of San Andreas as CJ, an ex-gangbanger returning home to solve his mother's murder while building a criminal empire in this iconic open-world classic.",Both
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Adventure,"Explore a vast, magical open world in this cozy dress-up adventure featuring unique platforming mechanics and charming aesthetic customization.",Singleplayer
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Embark on an intergalactic adventure as a Vault Hunter, battling eccentric enemies and collecting billions of unique weapons in this high-octane looter-shooter.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,RPG,"A classic fantasy MMORPG featuring intense nation-based warfare, strategic class progression, and epic battles between the kingdoms of El Morad and Karus.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Manage your own supermarket, stock shelves, set prices, and expand your business in this immersive retail simulation game.",Singleplayer
